IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.91.193.27,8443,80,false,ORD,North America,Chicago,200,0.00
35.95.36.1,2087,80,false,ORD,North America,Chicago,197,0.00
35.167.225.145,8443,80,false,ORD,North America,Chicago,202,0.00
54.189.163.18,2095,80,false,ORD,North America,Chicago,200,0.00
52.39.201.69,8880,80,false,ORD,North America,Chicago,200,0.00
34.215.90.63,2082,80,false,ORD,North America,Chicago,200,0.00
35.167.225.145,2052,80,false,ORD,North America,Chicago,202,0.00
35.91.233.1,2052,80,false,ORD,North America,Chicago,200,0.00
35.167.225.145,2095,80,false,ORD,North America,Chicago,200,0.00
52.39.169.151,2083,80,false,ORD,North America,Chicago,202,0.00
35.167.225.145,2096,80,false,ORD,North America,Chicago,200,0.00
54.245.58.106,8880,80,false,ORD,North America,Chicago,202,0.00
52.39.169.151,443,80,false,ORD,North America,Chicago,197,0.00
54.245.58.106,2052,80,false,ORD,North America,Chicago,200,0.00
52.39.169.151,2053,80,false,ORD,North America,Chicago,201,0.00
54.245.58.106,8080,80,false,ORD,North America,Chicago,200,0.00
54.245.58.106,2096,80,false,ORD,North America,Chicago,202,0.00
35.167.225.145,2086,80,false,ORD,North America,Chicago,199,0.00
54.245.58.106,443,80,false,ORD,North America,Chicago,200,0.00
54.245.58.106,2086,80,false,ORD,North America,Chicago,202,0.00
54.245.58.106,2053,80,false,ORD,North America,Chicago,201,0.00
54.245.58.106,8443,80,false,ORD,North America,Chicago,199,0.00
18.175.165.190,2082,80,false,ORD,North America,Chicago,175,0.00
54.202.30.249,2082,80,false,ORD,North America,Chicago,201,0.00
54.202.30.249,2053,80,false,ORD,North America,Chicago,200,0.00
35.92.242.217,443,80,false,ORD,North America,Chicago,200,0.00
35.92.242.217,2086,80,false,ORD,North America,Chicago,201,0.00
54.202.30.249,2086,80,false,ORD,North America,Chicago,199,0.00
54.202.30.249,2096,80,false,ORD,North America,Chicago,202,0.00
35.92.242.217,2087,80,false,ORD,North America,Chicago,202,0.00
35.92.242.217,2053,80,false,ORD,North America,Chicago,202,0.00
35.92.242.217,2083,80,false,ORD,North America,Chicago,203,0.00
35.92.242.217,8880,80,false,ORD,North America,Chicago,202,0.00
35.92.242.217,2082,80,false,ORD,North America,Chicago,199,0.00
54.202.30.249,2095,80,false,ORD,North America,Chicago,199,0.00
54.202.30.249,2052,80,false,ORD,North America,Chicago,200,0.00
54.202.30.249,2087,80,false,ORD,North America,Chicago,199,0.00
54.202.30.249,443,80,false,ORD,North America,Chicago,202,0.00
54.202.30.249,2083,80,false,ORD,North America,Chicago,200,0.00
35.92.242.217,80,80,false,ORD,North America,Chicago,208,0.00
35.92.242.217,8080,80,false,ORD,North America,Chicago,207,0.00
54.202.30.249,8880,80,false,ORD,North America,Chicago,202,0.00
35.92.242.217,2052,80,false,ORD,North America,Chicago,198,0.00
54.202.30.249,80,80,false,ORD,North America,Chicago,202,0.00
34.210.73.42,443,80,false,ORD,North America,Chicago,198,0.00
34.210.73.42,8080,80,false,ORD,North America,Chicago,197,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,80,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,84,0.00
13.215.80.221,2083,80,false,SIN,Asia Pacific,Singapore,84,0.00
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2083,80,false,SYD,Oceania,Sydney,94,0.00
13.55.59.224,2087,80,false,SYD,Oceania,Sydney,94,0.00
13.55.237.163,2053,80,false,SYD,Oceania,Sydney,95,0.00
13.211.0.227,2087,80,false,SYD,Oceania,Sydney,95,0.00
13.211.0.227,2083,80,false,SYD,Oceania,Sydney,96,0.00
13.211.0.227,2052,80,false,SYD,Oceania,Sydney,96,0.00
13.55.237.163,2052,80,false,SYD,Oceania,Sydney,103,0.00
13.55.237.163,2095,80,false,SYD,Oceania,Sydney,105,0.00
96.0.147.114,443,80,false,HKG,Asia Pacific,Hong Kong,105,0.00
96.0.147.114,80,80,false,HKG,Asia Pacific,Hong Kong,105,0.00
96.0.144.6,80,80,false,HKG,Asia Pacific,Hong Kong,106,0.00
96.0.147.91,80,80,false,HKG,Asia Pacific,Hong Kong,106,0.00
13.211.0.227,2086,80,false,SYD,Oceania,Sydney,108,0.00
13.211.0.227,2082,80,false,SYD,Oceania,Sydney,108,0.00
15.165.63.136,2095,80,false,ICN,Asia Pacific,Seoul,109,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,109,0.00
13.55.237.163,2087,80,false,SYD,Oceania,Sydney,112,0.00
13.54.81.122,2052,80,false,SYD,Oceania,Sydney,112,0.00
13.55.238.1,2052,80,false,SYD,Oceania,Sydney,114,0.00
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,115,0.00
13.55.59.224,2082,80,false,SYD,Oceania,Sydney,118,0.00
13.55.238.1,2095,80,false,SYD,Oceania,Sydney,119,0.00
13.211.0.227,2053,80,false,SYD,Oceania,Sydney,120,0.00
13.55.59.224,2095,80,false,SYD,Oceania,Sydney,127,0.00
13.215.80.221,2086,80,false,SIN,Asia Pacific,Singapore,129,0.00
13.55.237.163,2083,80,false,SYD,Oceania,Sydney,130,0.00
13.215.80.221,2095,80,false,SIN,Asia Pacific,Singapore,133,0.00
13.55.237.163,2096,80,false,SYD,Oceania,Sydney,134,0.00
13.55.237.163,2082,80,false,SYD,Oceania,Sydney,136,0.00
15.165.63.136,2053,80,false,ICN,Asia Pacific,Seoul,138,0.00
13.54.173.154,2096,80,false,SYD,Oceania,Sydney,148,0.00
13.55.238.1,2096,80,false,SYD,Oceania,Sydney,148,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,150,0.00
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,150,0.00
13.55.238.1,2087,80,false,SYD,Oceania,Sydney,151,0.00
13.55.59.224,2053,80,false,SYD,Oceania,Sydney,151,0.00
13.54.173.154,2082,80,false,SYD,Oceania,Sydney,153,0.00
13.54.173.154,2083,80,false,SYD,Oceania,Sydney,154,0.00
13.54.173.154,2052,80,false,SYD,Oceania,Sydney,155,0.00
15.236.116.199,2087,80,false,CDG,Europe,Paris,163,0.00
13.211.0.227,2095,80,false,SYD,Oceania,Sydney,165,0.00
15.236.116.199,2096,80,false,CDG,Europe,Paris,166,0.00
